Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
4/2/2007,05:24:00,1.970,0.204,241.570,9.000,0.000,2.000,0.0
27/2/2007,18:42:00,0.292,0.096,241.410,1.200,0.000,0.000,0.0
12/2/2007,21:43:00,2.168,0.000,238.290,9.000,2.000,0.000,0.0
15/3/2007,18:55:00,2.870,0.266,234.790,12.200,0.000,0.000,17.0
14/3/2007,06:08:00,0.706,0.114,241.360,3.000,0.000,1.000,0.0
22/2/2007,17:27:00,0.710,0.076,241.270,3.000,0.000,0.000,0.0
13/2/2007,22:30:00,0.714,0.000,242.960,3.000,0.000,0.000,0.0
1/1/2007,02:39:00,2.500,0.000,242.860,10.200,0.000,0.000,0.0
13/1/2007,13:45:00,0.620,0.114,240.690,2.600,0.000,1.000,0.0
25/1/2007,08:02:00,1.280,0.000,240.640,5.200,0.000,0.000,18.0
2/2/2007,05:44:00,0.224,0.000,243.060,1.000,0.000,0.000,0.0
11/2/2007,01:08:00,2.388,0.108,238.840,10.000,0.000,0.000,0.0
26/12/2006,16:05:00,2.910,0.148,244.430,12.000,0.000,0.000,18.0
8/3/2007,08:24:00,1.432,0.066,238.940,6.000,1.000,1.000,18.0
27/12/2006,20:00:00,1.294,0.000,240.960,5.400,0.000,0.000,0.0
15/3/2007,09:29:00,0.402,0.114,237.830,1.800,0.000,0.000,0.0
21/12/2006,15:48:00,0.516,0.000,241.590,2.200,0.000,0.000,0.0
13/3/2007,16:19:00,0.314,0.104,241.480,1.400,0.000,2.000,0.0
12/1/2007,07:08:00,2.288,0.000,239.610,9.400,0.000,0.000,17.0
19/2/2007,16:22:00,0.388,0.136,245.270,1.800,0.000,0.000,0.0
6/1/2007,07:21:00,0.326,0.162,241.740,1.600,0.000,1.000,0.0
2/2/2007,16:49:00,0.340,0.126,241.830,1.400,0.000,0.000,0.0
27/2/2007,13:17:00,0.320,0.140,245.030,1.400,0.000,0.000,0.0
2/2/2007,21:19:00,0.646,0.206,239.050,2.800,0.000,0.000,0.0
20/12/2006,02:15:00,0.228,0.000,245.620,1.000,0.000,0.000,0.0
16/3/2007,00:59:00,0.760,0.082,237.820,3.200,0.000,1.000,0.0
19/1/2007,13:32:00,0.372,0.244,242.390,1.800,0.000,0.000,0.0
21/1/2007,01:58:00,2.630,0.214,238.820,11.800,0.000,1.000,17.0
24/2/2007,00:01:00,0.714,0.000,243.910,2.800,0.000,0.000,0.0
6/3/2007,05:24:00,0.386,0.204,239.930,1.800,0.000,1.000,0.0
19/1/2007,17:35:00,1.276,0.000,239.980,5.200,0.000,0.000,18.0
23/2/2007,18:03:00,0.414,0.222,242.290,1.800,0.000,0.000,0.0
7/2/2007,22:44:00,1.586,0.000,240.170,6.600,1.000,0.000,18.0
7/1/2007,16:03:00,1.772,0.230,243.210,7.400,0.000,2.000,18.0
20/2/2007,00:27:00,2.508,0.234,241.120,10.400,0.000,1.000,0.0
17/1/2007,21:32:00,4.000,0.282,235.560,17.000,0.000,2.000,17.0
7/1/2007,01:32:00,0.244,0.046,242.480,1.000,0.000,0.000,0.0
3/2/2007,15:34:00,1.948,0.456,243.740,8.200,2.000,0.000,18.0
17/12/2006,08:10:00,0.616,0.084,243.880,4.000,0.000,0.000,0.0
28/2/2007,07:23:00,1.302,0.000,241.960,5.400,0.000,0.000,18.0
30/1/2007,21:36:00,0.932,0.000,240.950,3.800,1.000,0.000,0.0
12/3/2007,03:09:00,0.304,0.084,246.270,1.200,0.000,0.000,0.0
31/1/2007,00:22:00,0.612,0.000,240.420,2.600,0.000,0.000,0.0
5/1/2007,11:21:00,0.222,0.000,240.980,1.000,0.000,0.000,0.0
26/12/2006,11:28:00,2.324,0.000,240.250,9.600,0.000,0.000,18.0
18/1/2007,06:11:00,0.296,0.106,242.540,1.200,0.000,0.000,0.0
19/1/2007,16:54:00,1.284,0.000,240.680,5.200,0.000,0.000,18.0
9/1/2007,08:18:00,3.636,0.116,239.070,15.200,38.000,1.000,17.0
5/3/2007,05:30:00,0.214,0.000,239.090,1.000,0.000,0.000,0.0
25/2/2007,23:13:00,0.326,0.134,243.710,1.400,0.000,0.000,0.0
2/1/2007,18:26:00,1.734,0.000,239.090,7.200,0.000,0.000,17.0
8/2/2007,13:11:00,0.300,0.096,241.970,1.200,0.000,0.000,0.0
2/1/2007,04:32:00,1.458,0.000,241.870,6.000,0.000,0.000,18.0
26/12/2006,20:47:00,5.364,0.000,240.830,22.200,39.000,0.000,18.0
9/1/2007,15:48:00,0.570,0.316,247.280,2.800,0.000,1.000,0.0
16/1/2007,00:27:00,0.236,0.000,244.190,1.000,0.000,0.000,0.0
7/2/2007,06:01:00,1.352,0.000,245.110,5.400,0.000,0.000,19.0
27/12/2006,17:25:00,0.326,0.168,240.520,1.600,0.000,0.000,0.0
6/3/2007,23:15:00,0.420,0.060,245.620,1.600,0.000,0.000,0.0
22/2/2007,11:29:00,1.556,0.094,238.470,6.400,0.000,0.000,17.0
3/1/2007,13:12:00,1.346,0.052,243.670,5.400,0.000,0.000,18.0
20/1/2007,02:33:00,0.682,0.156,242.480,4.200,0.000,0.000,0.0
11/1/2007,05:54:00,0.294,0.142,241.520,1.400,0.000,0.000,0.0
3/1/2007,02:28:00,0.252,0.054,245.980,1.000,0.000,0.000,0.0
29/12/2006,10:38:00,1.598,0.264,244.250,6.600,0.000,0.000,18.0
14/1/2007,11:30:00,0.454,0.224,240.220,2.200,0.000,0.000,0.0
6/1/2007,21:43:00,1.064,0.292,241.110,4.800,0.000,1.000,0.0
7/2/2007,20:30:00,1.354,0.000,239.430,5.600,0.000,0.000,0.0
14/2/2007,04:50:00,0.214,0.000,240.690,0.800,0.000,0.000,0.0
26/12/2006,13:44:00,2.504,0.082,240.290,10.400,0.000,0.000,17.0
4/3/2007,14:13:00,0.454,0.252,242.670,2.200,0.000,0.000,0.0
12/1/2007,01:46:00,0.284,0.124,240.930,1.200,0.000,0.000,0.0
21/1/2007,21:14:00,6.254,0.284,235.370,26.600,44.000,8.000,17.0
21/12/2006,17:25:00,1.572,0.052,234.010,6.600,0.000,0.000,17.0
6/1/2007,17:03:00,0.942,0.224,233.670,4.200,0.000,2.000,0.0
14/3/2007,07:52:00,1.492,0.000,240.670,6.200,0.000,0.000,18.0
27/2/2007,07:56:00,0.312,0.118,239.980,1.400,0.000,0.000,0.0
18/12/2006,07:03:00,0.668,0.146,243.650,2.800,0.000,1.000,0.0
2/2/2007,19:07:00,2.794,0.310,235.170,11.800,0.000,1.000,17.0
15/3/2007,02:47:00,0.402,0.228,241.670,1.800,0.000,1.000,0.0
30/12/2006,06:40:00,1.474,0.268,246.020,6.000,0.000,1.000,19.0
5/2/2007,17:12:00,0.534,0.000,243.480,2.200,0.000,0.000,0.0
5/3/2007,21:57:00,1.936,0.000,239.020,8.000,1.000,0.000,18.0
7/3/2007,08:31:00,3.840,0.070,233.980,16.400,37.000,0.000,17.0
31/1/2007,09:21:00,1.266,0.000,236.020,5.200,0.000,0.000,17.0
17/1/2007,07:17:00,1.984,0.000,239.150,8.200,0.000,0.000,17.0
24/1/2007,03:11:00,0.218,0.000,245.330,1.000,0.000,0.000,0.0
16/1/2007,01:39:00,0.250,0.000,240.910,1.000,0.000,0.000,0.0
29/12/2006,22:34:00,6.238,0.268,235.120,26.400,0.000,73.000,17.0
4/2/2007,13:23:00,2.106,0.510,238.840,9.400,0.000,2.000,17.0
18/2/2007,15:38:00,1.378,0.000,241.730,5.600,0.000,1.000,18.0
11/1/2007,16:04:00,1.322,0.000,244.010,5.400,0.000,0.000,19.0
20/1/2007,21:31:00,1.200,0.000,240.060,5.000,1.000,0.000,0.0
18/12/2006,14:11:00,1.594,0.000,240.290,6.600,0.000,0.000,17.0
17/2/2007,23:21:00,3.580,0.058,237.100,15.000,0.000,0.000,0.0
17/12/2006,02:34:00,2.370,0.000,244.700,9.600,0.000,0.000,0.0
14/1/2007,06:40:00,0.312,0.138,241.880,1.400,0.000,0.000,0.0
17/2/2007,17:16:00,0.486,0.242,238.590,2.200,0.000,1.000,0.0
10/2/2007,07:31:00,4.160,0.000,237.790,17.600,0.000,0.000,0.0
31/1/2007,01:01:00,0.288,0.000,239.620,1.200,0.000,0.000,0.0
8/3/2007,22:18:00,2.388,0.066,237.000,10.000,0.000,0.000,17.0
6/1/2007,15:44:00,0.912,0.136,239.080,4.000,0.000,0.000,0.0
2/2/2007,19:41:00,2.274,0.100,235.670,9.600,0.000,0.000,17.0
20/1/2007,19:08:00,5.846,0.336,229.150,25.400,0.000,36.000,17.0
31/12/2006,19:47:00,2.426,0.088,235.120,10.200,0.000,2.000,0.0
16/3/2007,13:12:00,0.226,0.000,240.060,1.000,0.000,0.000,0.0
1/2/2007,06:49:00,3.252,0.268,240.980,13.400,0.000,0.000,18.0
29/12/2006,09:49:00,3.426,0.110,240.560,14.200,0.000,2.000,18.0
27/12/2006,06:26:00,0.498,0.198,249.200,2.400,0.000,0.000,0.0
9/3/2007,09:15:00,1.382,0.000,241.120,5.600,0.000,0.000,18.0
4/1/2007,19:30:00,2.432,0.000,236.780,10.200,0.000,1.000,18.0
3/1/2007,19:11:00,0.242,0.000,239.230,1.000,0.000,0.000,0.0
9/2/2007,14:01:00,1.520,0.266,243.550,6.200,0.000,1.000,18.0
22/1/2007,18:16:00,0.836,0.000,240.090,3.400,0.000,0.000,0.0
25/1/2007,22:02:00,1.262,0.000,239.620,5.200,0.000,0.000,0.0
28/1/2007,02:48:00,2.352,0.000,242.830,9.600,0.000,0.000,0.0
27/2/2007,06:09:00,0.378,0.224,242.660,1.800,0.000,1.000,0.0
24/12/2006,04:46:00,0.940,0.138,247.570,5.400,0.000,0.000,0.0
16/1/2007,11:53:00,0.824,0.122,242.430,3.600,0.000,0.000,0.0
26/2/2007,23:34:00,0.394,0.242,243.880,1.800,0.000,0.000,0.0
31/1/2007,14:49:00,2.006,0.068,240.790,8.200,0.000,0.000,18.0
10/3/2007,19:42:00,2.990,0.180,231.290,12.800,0.000,0.000,17.0
